80000182-0000-e900-b63f-84710c7967bb|2016-11-28 11:53:23.4119|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000182-0000-e900-b63f-84710c7967bb|2016-11-28 11:53:28.4517|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000184-0000-e900-b63f-84710c7967bb|2016-11-28 11:53:33.1308|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=62b41d80-f74d-45a9-9095-0b2eefe1b161&unitsInStock=10&_=1480326809392
80000186-0000-e900-b63f-84710c7967bb|2016-11-28 11:53:34.7505|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/AddToBasket
8000028c-0000-ee00-b63f-84710c7967bb|2016-11-28 11:54:35.2430|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800009e2-0000-ed00-b63f-84710c7967bb|2016-11-28 11:55:26.8109|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800009e2-0000-ed00-b63f-84710c7967bb|2016-11-28 11:55:31.6529|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800009e4-0000-ed00-b63f-84710c7967bb|2016-11-28 11:55:38.8218|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/5835a55b71c151964df0b650/Details
800009e4-0000-ed00-b63f-84710c7967bb|2016-11-28 11:55:39.4049|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/5835a55b71c151964df0b650/Details
800009e6-0000-ed00-b63f-84710c7967bb|2016-11-28 11:55:56.9463|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
800009e6-0000-ed00-b63f-84710c7967bb|2016-11-28 11:56:00.1143|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
800009e8-0000-ed00-b63f-84710c7967bb|2016-11-28 11:56:03.7164|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=10d19b84-a09e-42d5-8de6-5eaf00a594ba&unitsInStock=10&_=1480326962018
800009e9-0000-ed00-b63f-84710c7967bb|2016-11-28 11:56:05.9490|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/AddToBasket
8000017c-0000-f800-b63f-84710c7967bb|2016-11-28 11:57:12.6654|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000017c-0000-f800-b63f-84710c7967bb|2016-11-28 11:57:18.2880|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000017e-0000-f800-b63f-84710c7967bb|2016-11-28 11:57:21.4035|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=c47900b4-c05b-4da7-b16c-08cb4011bdf8&unitsInStock=20&_=1480327039237
8000017f-0000-f800-b63f-84710c7967bb|2016-11-28 11:57:22.9195|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/AddToBasket
800001a4-0000-e900-b63f-84710c7967bb|2016-11-28 12:01:10.1441|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001a4-0000-e900-b63f-84710c7967bb|2016-11-28 12:01:15.3017|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001a6-0000-e900-b63f-84710c7967bb|2016-11-28 12:01:19.3468|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/5835a55b71c151964df0b651/Details
800001a6-0000-e900-b63f-84710c7967bb|2016-11-28 12:01:19.8993|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/5835a55b71c151964df0b651/Details
800001a8-0000-e900-b63f-84710c7967bb|2016-11-28 12:01:21.6957|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800001a8-0000-e900-b63f-84710c7967bb|2016-11-28 12:01:22.0543|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800001aa-0000-e900-b63f-84710c7967bb|2016-11-28 12:01:23.8045|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=c913dc7c-9238-417a-bb63-0c9cc433a1ff&unitsInStock=20&_=1480327282165
800001ab-0000-e900-b63f-84710c7967bb|2016-11-28 12:01:25.2763|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/AddToBasket
80000434-0002-e800-b63f-84710c7967bb|2016-11-28 12:02:22.4173|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000434-0002-e800-b63f-84710c7967bb|2016-11-28 12:02:27.1800|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000436-0002-e800-b63f-84710c7967bb|2016-11-28 12:02:31.0112|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=48581d47-0e99-47f0-a76e-051ba08ce812&unitsInStock=20&_=1480327348107
80000437-0002-e800-b63f-84710c7967bb|2016-11-28 12:02:32.7672|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/AddToBasket
80000568-0000-fe00-b63f-84710c7967bb|2016-11-28 12:18:57.3999|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000568-0000-fe00-b63f-84710c7967bb|2016-11-28 12:19:02.9572|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000056a-0000-fe00-b63f-84710c7967bb|2016-11-28 12:19:12.1643|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=d5fe3864-aeb1-4a75-bbdc-773a49b976aa&unitsInStock=20&_=1480328343893
8000056b-0000-fe00-b63f-84710c7967bb|2016-11-28 12:19:13.7288|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/AddToBasket
80000043-0000-ea00-b63f-84710c7967bb|2016-11-28 12:20:42.2238|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
