800006c5-0000-f400-b63f-84710c7967bb|2016-11-30 12:53:08.7142|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001e3-0002-ea00-b63f-84710c7967bb|2016-11-30 12:53:09.5160|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800001e3-0002-ea00-b63f-84710c7967bb|2016-11-30 12:53:09.5510|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800001e5-0002-ea00-b63f-84710c7967bb|2016-11-30 12:53:31.5821|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800001e5-0002-ea00-b63f-84710c7967bb|2016-11-30 12:53:37.3142|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800001e5-0002-ea00-b63f-84710c7967bb|2016-11-30 12:53:37.3342|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800001e7-0002-ea00-b63f-84710c7967bb|2016-11-30 12:53:41.7483|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?PageSize=20
800001e7-0002-ea00-b63f-84710c7967bb|2016-11-30 12:53:44.4724|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?PageSize=20
800001e7-0002-ea00-b63f-84710c7967bb|2016-11-30 12:53:44.4764|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?PageSize=20
800001e9-0002-ea00-b63f-84710c7967bb|2016-11-30 12:53:51.9226|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?PageSize=100
800001e9-0002-ea00-b63f-84710c7967bb|2016-11-30 12:53:54.5877|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?PageSize=100
800001e9-0002-ea00-b63f-84710c7967bb|2016-11-30 12:53:54.6097|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?PageSize=100
800001e4-0003-ed00-b63f-84710c7967bb|2016-11-30 12:56:25.2061|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?PageSize=100
800001e4-0003-ed00-b63f-84710c7967bb|2016-11-30 12:56:31.2067|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?PageSize=100
