80000a56-0001-e900-b63f-84710c7967bb|2016-11-23 10:26:22.6816|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&SelectedTypesName=Browser&SelectedPublishersName=GamesCorporation
800001b4-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:09.2051|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001b4-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:12.9390|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001b4-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:13.5054|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001b6-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:17.8358|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&SelectedPublishersName=GamesCorporation
800001b6-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:17.8520|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&SelectedPublishersName=GamesCorporation
800001b6-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:17.8956|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&SelectedPublishersName=GamesCorporation
800001b8-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:22.1690|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear
800001b8-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:22.1940|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear
800001b8-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:22.2541|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear
800001ba-0001-f600-b63f-84710c7967bb|2016-11-23 10:27:27.4187|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&SelectedPublishersName=GamesCorporation
