80000065-0000-fa00-b63f-84710c7967bb|2016-11-25 16:45:31.7238|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800000ab-0001-f900-b63f-84710c7967bb|2016-11-25 16:46:01.6997|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000ab-0001-f900-b63f-84710c7967bb|2016-11-25 16:46:05.8147|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000ad-0001-f900-b63f-84710c7967bb|2016-11-25 16:46:10.3581|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000031-0001-e700-b63f-84710c7967bb|2016-11-25 16:46:44.8494|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000031-0001-e700-b63f-84710c7967bb|2016-11-25 16:46:49.6628|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000033-0001-e700-b63f-84710c7967bb|2016-11-25 16:46:53.3657|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000195-0000-f300-b63f-84710c7967bb|2016-11-25 16:47:21.7780|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000195-0000-f300-b63f-84710c7967bb|2016-11-25 16:47:26.4132|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000197-0000-f300-b63f-84710c7967bb|2016-11-25 16:47:30.2046|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000197-0000-f300-b63f-84710c7967bb|2016-11-25 16:47:30.4544|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
80000199-0000-f300-b63f-84710c7967bb|2016-11-25 16:48:00.5676|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/Chang/Details
800005d0-0001-f100-b63f-84710c7967bb|2016-11-25 16:48:29.1311|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800005d0-0001-f100-b63f-84710c7967bb|2016-11-25 16:48:34.5546|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800005d2-0001-f100-b63f-84710c7967bb|2016-11-25 16:48:41.8911|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800005d2-0001-f100-b63f-84710c7967bb|2016-11-25 16:48:42.1173|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800005d4-0001-f100-b63f-84710c7967bb|2016-11-25 16:48:44.4743|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/Game12_Game12/Details
800005d4-0001-f100-b63f-84710c7967bb|2016-11-25 16:48:47.9336|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/Game12_Game12/Details
800005d6-0001-f100-b63f-84710c7967bb|2016-11-25 16:48:49.8270|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800005d6-0001-f100-b63f-84710c7967bb|2016-11-25 16:48:50.0521|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800005d8-0001-f100-b63f-84710c7967bb|2016-11-25 16:48:52.0480|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800005d8-0001-f100-b63f-84710c7967bb|2016-11-25 16:48:52.3012|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800005da-0001-f100-b63f-84710c7967bb|2016-11-25 16:48:55.5039|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=Game7_Game7
80000299-0000-f800-b63f-84710c7967bb|2016-11-25 16:52:37.2731|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000412-0001-ef00-b63f-84710c7967bb|2016-11-25 16:52:59.0279|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000001a-0002-e500-b63f-84710c7967bb|2016-11-25 17:07:24.8147|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000ba-0000-fc00-b63f-84710c7967bb|2016-11-25 17:09:47.5856|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000231-0001-ea00-b63f-84710c7967bb|2016-11-25 17:12:52.5373|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000051-0003-f400-b63f-84710c7967bb|2016-11-25 17:15:34.8748|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000001e-0001-fc00-b63f-84710c7967bb|2016-11-25 17:17:51.2016|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000294-0001-f700-b63f-84710c7967bb|2016-11-25 17:19:26.3243|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
