80000166-0001-e600-b63f-84710c7967bb|2016-11-24 18:01:24.8078|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000168-0001-e600-b63f-84710c7967bb|2016-11-24 18:01:31.2859|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
80000168-0001-e600-b63f-84710c7967bb|2016-11-24 18:01:31.5350|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
8000016a-0001-e600-b63f-84710c7967bb|2016-11-24 18:01:48.7485|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000016a-0001-e600-b63f-84710c7967bb|2016-11-24 18:01:48.8806|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000089-0001-f300-b63f-84710c7967bb|2016-11-24 18:08:32.4880|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000089-0001-f300-b63f-84710c7967bb|2016-11-24 18:08:40.4940|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000008b-0001-f300-b63f-84710c7967bb|2016-11-24 18:08:56.2108|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?PageSize=20
8000008b-0001-f300-b63f-84710c7967bb|2016-11-24 18:08:56.2900|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?PageSize=20
8000008d-0001-f300-b63f-84710c7967bb|2016-11-24 18:09:07.3176|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?PageSize=50
8000008d-0001-f300-b63f-84710c7967bb|2016-11-24 18:09:07.4252|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?PageSize=50
800001b7-0000-fd00-b63f-84710c7967bb|2016-11-24 18:09:51.2924|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001b7-0000-fd00-b63f-84710c7967bb|2016-11-24 18:09:56.1191|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000653-0000-f200-b63f-84710c7967bb|2016-11-24 18:10:54.1983|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000653-0000-f200-b63f-84710c7967bb|2016-11-24 18:10:58.9625|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000655-0000-f200-b63f-84710c7967bb|2016-11-24 18:11:13.5598|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000655-0000-f200-b63f-84710c7967bb|2016-11-24 18:11:13.6839|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000657-0000-f200-b63f-84710c7967bb|2016-11-24 18:11:15.5514|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/Sims3_16in1/Details
80000906-0000-f100-b63f-84710c7967bb|2016-11-24 18:11:34.2665|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000906-0000-f100-b63f-84710c7967bb|2016-11-24 18:11:38.2163|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000908-0000-f100-b63f-84710c7967bb|2016-11-24 18:11:43.0109|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=3afd62e6-0f5e-4631-9b04-037c944bbaf2&unitsInStock=20&_=1480003899045
80000909-0000-f100-b63f-84710c7967bb|2016-11-24 18:11:44.4821|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/AddToBasket
80000661-0000-f200-b63f-84710c7967bb|2016-11-24 18:11:57.5184|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000661-0000-f200-b63f-84710c7967bb|2016-11-24 18:12:01.3725|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000663-0000-f200-b63f-84710c7967bb|2016-11-24 18:12:04.7668|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
80000663-0000-f200-b63f-84710c7967bb|2016-11-24 18:12:05.0056|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
800006aa-0003-ed00-b63f-84710c7967bb|2016-11-24 18:17:34.2906|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800006aa-0003-ed00-b63f-84710c7967bb|2016-11-24 18:17:41.8091|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000327-0001-fc00-b63f-84710c7967bb|2016-11-24 19:09:27.5753|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000327-0001-fc00-b63f-84710c7967bb|2016-11-24 19:09:34.8394|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001ee-0000-fd00-b63f-84710c7967bb|2016-11-24 19:25:09.2506|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001ee-0000-fd00-b63f-84710c7967bb|2016-11-24 19:25:16.3728|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001f0-0000-fd00-b63f-84710c7967bb|2016-11-24 19:25:30.0375|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=496fcc4f-bd8a-414d-92dd-11ddb11ae795&unitsInStock=20&_=1480008317220
800001f1-0000-fd00-b63f-84710c7967bb|2016-11-24 19:25:32.0875|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/AddToBasket
800004d2-0000-f400-b63f-84710c7967bb|2016-11-24 19:26:31.1352|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800004d2-0000-f400-b63f-84710c7967bb|2016-11-24 19:26:34.6394|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800004d4-0000-f400-b63f-84710c7967bb|2016-11-24 19:26:44.1738|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/Game11_Game11/Details
8000004e-0002-e300-b63f-84710c7967bb|2016-11-24 20:01:50.0009|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000004e-0002-e300-b63f-84710c7967bb|2016-11-24 20:01:57.2264|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000050-0002-e300-b63f-84710c7967bb|2016-11-24 20:02:03.0965|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/Game11_Game11/Details
800000e9-0001-f600-b63f-84710c7967bb|2016-11-24 20:02:40.5034|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000e9-0001-f600-b63f-84710c7967bb|2016-11-24 20:02:43.9506|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000eb-0001-f600-b63f-84710c7967bb|2016-11-24 20:02:47.9554|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/5835a55b71c151964df0b656/Details
80000768-0001-fb00-b63f-84710c7967bb|2016-11-24 20:03:37.3988|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000768-0001-fb00-b63f-84710c7967bb|2016-11-24 20:03:40.7721|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000076a-0001-fb00-b63f-84710c7967bb|2016-11-24 20:03:46.5622|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
8000076a-0001-fb00-b63f-84710c7967bb|2016-11-24 20:03:46.7900|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
8000076c-0001-fb00-b63f-84710c7967bb|2016-11-24 20:04:34.9141|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
8000076c-0001-fb00-b63f-84710c7967bb|2016-11-24 20:04:34.9757|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
8000076e-0001-fb00-b63f-84710c7967bb|2016-11-24 20:04:37.9353|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
80000937-0000-ed00-b63f-84710c7967bb|2016-11-24 20:06:47.3940|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000937-0000-ed00-b63f-84710c7967bb|2016-11-24 20:06:50.9721|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000939-0000-ed00-b63f-84710c7967bb|2016-11-24 20:06:54.4676|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
80000939-0000-ed00-b63f-84710c7967bb|2016-11-24 20:06:54.6868|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
8000093b-0000-ed00-b63f-84710c7967bb|2016-11-24 20:07:02.5630|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/New
800002a8-0000-eb00-b63f-84710c7967bb|2016-11-24 20:29:00.8399|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games/Index
